StationID,StationName,Lat,Lon
72.0,W 52 St & 11 Ave,40.76727216,-73.99392888
79.0,Franklin St & W Broadway,40.71911552,-74.00666661
82.0,St James Pl & Pearl St,40.71117416,-74.00016545
119.0,Park Ave & St Edwards St,40.69608941,-73.97803415
120.0,Lexington Ave & Classon Ave,40.68676793,-73.95928168
127.0,Barrow St & Hudson St,40.73172428,-74.00674436
128.0,MacDougal St & Prince St,40.72710258,-74.00297088
143.0,Clinton St & Joralemon St,40.69239502,-73.99337909
144.0,Nassau St & Navy St,40.69839895,-73.98068914
146.0,Hudson St & Reade St,40.71625008,-74.0091059
150.0,E 2 St & Avenue C,40.7208736,-73.98085795
151.0,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504
157.0,Henry St & Atlantic Ave,40.69089272,-73.99612349
161.0,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
164.0,E 47 St & 2 Ave,40.75323098,-73.97032517
167.0,E 39 St & 3 Ave,40.7489006,-73.97604882
168.0,W 18 St & 6 Ave,40.73971301,-73.99456405
173.0,Broadway & W 49 St,40.76068327096592,-73.9845272898674
174.0,E 25 St & 1 Ave,40.7381765,-73.97738662
195.0,Liberty St & Broadway,40.70905623,-74.01043382
212.0,W 16 St & The High Line,40.74334935,-74.00681753
216.0,Columbia Heights & Cranberry St,40.70037867,-73.99548059
217.0,Old Fulton St,40.70277159,-73.99383605
223.0,W 13 St & 7 Ave,40.73781509,-73.99994661
228.0,E 48 St & 3 Ave,40.7546011026,-73.971878855
229.0,Great Jones St,40.72743423,-73.99379025
236.0,St Marks Pl & 2 Ave,40.7284186,-73.98713956
237.0,E 11 St & 2 Ave,40.73047309,-73.98672378
238.0,Bank St & Washington St,40.7361967,-74.00859207
239.0,Willoughby St & Fleet St,40.69196566,-73.9813018
241.0,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121
242.0,Carlton Ave & Flushing Ave,40.697787,-73.973736
243.0,Fulton St & Rockwell Pl,40.688226,-73.979382
244.0,Willoughby Ave & Hall St,40.69196035,-73.96536851
245.0,Myrtle Ave & St Edwards St,40.69327018,-73.97703874
247.0,Perry St & Bleecker St,40.73535398,-74.00483091
248.0,Laight St & Hudson St,40.72185379,-74.00771779
