Station ID,Station Name,Lat,Lon,Number of Trips
3731.11,14 St & 7 Ave,40.663779,-73.98396846,1036
3731.11,14 St & 7 Ave,40.663779,-73.983968,2
3736.03,Bedford Ave & Montgomery St,40.665816,-73.956934,489
3736.04,Sullivan Pl & Bedford Ave,40.6642406,-73.9574686,203
3739.06,4 Ave & 17 St,40.665507,-73.993037,386
3762.08,10 St & 7 Ave,40.6662078,-73.98199886,1323
3771.06,14 St & 5 Ave,40.666287,-73.988951,3
3771.06,14 St & 5 Ave,40.666287,-73.98895053,992
3776.05,Montgomery St & Franklin Ave,40.666439306870814,-73.9605563879013,281
3779.02,3 Ave & 17 St,40.666168,-73.995549,117
3803.05,6 Ave & 12 St,40.6663181,-73.9854617,808
3803.09,6 Ave & 9 St,40.668127,-73.98377641,1447
3803.09,6 Ave & 9 St,40.668127,-73.983776,3
3811.05,16th St & 4th Ave,40.666197,-73.992466,373
3834.10,6 St & 7 Ave,40.6686627,-73.97988067,1134
3834.10,6 St & 7 Ave,40.668663,-73.979881,6
3842.08,10 St & 5 Ave,40.6686273,-73.98700053,844
3847.04,Carroll St & Franklin Ave,40.667941,-73.9588,3
3847.04,Carroll St & Franklin Ave,40.6679411,-73.9588,342
3850.03,3 Ave & 14 St,40.6685455,-73.99333264,345
3850.03,3 Ave & 14 St,40.668546,-73.993333,1
3856.03,Flatbush Ave & Eastern Pkwy,40.668757,-73.966438,193
3865.05,3 St & Prospect Park West,40.668132,-73.97363831,1796
3865.05,3 St & Prospect Park West,40.668132,-73.973638,3
3874.01,5 St & 6 Ave,40.6704836,-73.98208968,695
3874.01,5 St & 6 Ave,40.670484,-73.98209,1
3879.04,Union St & Bedford Ave,40.669178,-73.955416,1
3879.04,Union St & Bedford Ave,40.6691783,-73.9554162,727
3882.01,12 St & 4 Ave,40.668603,-73.9904394,672
3882.01,12 St & 4 Ave,40.668603,-73.990439,3
3887.03,Carroll St & Washington Ave,40.668674,-73.961815,5
3887.03,Carroll St & Washington Ave,40.6686744,-73.9618148,438
3905.15,3 St & 7 Ave,40.6703837,-73.97839676,1625
3914.02,7 St & 5 Ave,40.6704922,-73.98541675,919
