Station ID,Station Name,Lat,Lon,Number of Trips
72,W 52 St & 11 Ave,40.76727216,-73.99392888,2612
79,Franklin St & W Broadway,40.71911552,-74.00666661,1202
82,St James Pl & Pearl St,40.71117416,-74.00016545,703
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,955
116,W 17 St & 8 Ave,40.74177603,-74.00149746,3494
119,Park Ave & St Edwards St,40.69608941,-73.97803415,365
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,578
127,Barrow St & Hudson St,40.73172428,-74.00674436,2842
128,MacDougal St & Prince St,40.72710258,-74.00297088,2648
143,Clinton St & Joralemon St,40.69239502,-73.99337909,1182
144,Nassau St & Navy St,40.69839895,-73.98068914,755
146,Hudson St & Reade St,40.71625008,-74.0091059,1455
150,E 2 St & Avenue C,40.7208736,-73.98085795,2246
151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,3620
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,982
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,2631
164,E 47 St & 2 Ave,40.75323098,-73.97032517,1735
167,E 39 St & 3 Ave,40.7489006,-73.97604882,2662
167,E 39 St & 3 Ave,40.749,-73.977,1
168,W 18 St & 6 Ave,40.73971301,-73.99456405,3661
173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,3233
174,E 25 St & 1 Ave,40.7381765,-73.97738662,2321
195,Liberty St & Broadway,40.70905623,-74.01043382,2305
212,W 16 St & The High Line,40.74334935,-74.00681753,2091
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,311
217,Old Fulton St,40.70277159,-73.99383605,892
223,W 13 St & 7 Ave,40.73781509,-73.99994661,2818
224,Spruce St & Nassau St,40.71146364,-74.00552427,1144
228,E 48 St & 3 Ave,40.7546011026,-73.971878855,1494
229,Great Jones St,40.72743423,-73.99379025,3792
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,2886
237,E 11 St & 2 Ave,40.73047309,-73.98672378,2977
238,Bank St & Washington St,40.7361967,-74.00859207,1414
239,Willoughby St & Fleet St,40.69196566,-73.9813018,1426
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,680
242,Carlton Ave & Flushing Ave,40.697787,-73.973736,517
243,Fulton St & Rockwell Pl,40.68841,-73.979458,665
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,889
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,419
247,Perry St & Bleecker St,40.73535398,-74.00483091,1801
248,Laight St & Hudson St,40.72185379,-74.00771779,535
249,Harrison St & Hudson St,40.71870987,-74.0090009,763
250,Lafayette St & Jersey St,40.72456089,-73.99565293,3139
251,Mott St & Prince St,40.722,-73.995,2
251,Mott St & Prince St,40.72317958,-73.99480012,2223
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,1621
254,W 11 St & 6 Ave,40.73532427,-73.99800419,2385
257,Lispenard St & Broadway,40.71939226,-74.00247214,2124
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,858
259,South St & Whitehall St,40.70122128,-74.01234218,847
260,Broad St & Bridge St,40.70365182,-74.01167797,810
261,Johnson St & Gold St,40.69474881,-73.98362464,666
262,Washington Park,40.6917823,-73.9737299,623
