,StationID,StationName,Lat,Lon
0,72,W 52 St & 11 Ave,40.76727216,-73.99392888
1,79,Franklin St & W Broadway,40.71911552,-74.00666661
2,82,St James Pl & Pearl St,40.71117416,-74.00016545
3,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328
4,116,W 17 St & 8 Ave,40.74177603,-74.00149746
5,119,Park Ave & St Edwards St,40.69608941,-73.97803415
6,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168
7,127,Barrow St & Hudson St,40.73172428,-74.00674436
8,128,MacDougal St & Prince St,40.72710258,-74.00297088
9,143,Clinton St & Joralemon St,40.69239502,-73.99337909
10,144,Nassau St & Navy St,40.69839895,-73.98068914
11,146,Hudson St & Reade St,40.71625008,-74.0091059
12,150,E 2 St & Avenue C,40.7208736,-73.98085795
13,151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504
14,152,Warren St & W Broadway,40.71473993,-74.00910627
15,157,Henry St & Atlantic Ave,40.69089272,-73.99612349
16,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
17,164,E 47 St & 2 Ave,40.75323098,-73.97032517
18,168,W 18 St & 6 Ave,40.73971301,-73.99456405
19,173,Broadway & W 49 St,40.76068327096592,-73.9845272898674
20,174,E 25 St & 1 Ave,40.7381765,-73.97738662
21,212,W 16 St & The High Line,40.74334935,-74.00681753
22,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059
23,217,Old Fulton St,40.70277159,-73.99383605
24,223,W 13 St & 7 Ave,40.73781509,-73.99994661
25,224,Spruce St & Nassau St,40.71146364,-74.00552427
26,228,E 48 St & 3 Ave,40.7546011026,-73.971878855
27,229,Great Jones St,40.72743423,-73.99379025
28,232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892
29,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956
30,237,E 11 St & 2 Ave,40.73047309,-73.98672378
31,238,Bank St & Washington St,40.7361967,-74.00859207
32,239,Willoughby St & Fleet St,40.69196566,-73.9813018
33,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121
34,242,Carlton Ave & Flushing Ave,40.697787,-73.973736
35,244,Willoughby Ave & Hall St,40.69196035,-73.96536851
36,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874
37,247,Perry St & Bleecker St,40.73535398,-74.00483091
38,248,Laight St & Hudson St,40.72185379,-74.00771779
39,249,Harrison St & Hudson St,40.71870987,-74.0090009
40,250,Lafayette St & Jersey St,40.72456089,-73.99565293
41,251,Mott St & Prince St,40.72317958,-73.99480012
42,252,MacDougal St & Washington Sq,40.73226398,-73.99852205
43,254,W 11 St & 6 Ave,40.73532427,-73.99800419
44,257,Lispenard St & Broadway,40.71939226,-74.00247214
45,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458
46,259,South St & Whitehall St,40.70122128,-74.01234218
47,260,Broad St & Bridge St,40.70365182,-74.01167797
48,261,Johnson St & Gold St,40.69474881,-73.98362464
49,262,Washington Park,40.6917823,-73.9737299
50,264,Maiden Ln & Pearl St,40.70706456,-74.00731853
51,265,Stanton St & Chrystie St,40.72229346,-73.99147535
52,267,Broadway & W 36 St,40.75097711,-73.98765428
53,268,Howard St & Centre St,40.71910537,-73.99973337
54,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913
55,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682
56,275,Washington Ave & Greene Ave,40.68650065,-73.96563307
57,276,Duane St & Greenwich St,40.71748752,-74.0104554
58,278,Concord St & Bridge St,40.69766564,-73.98476437
59,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465
60,282,Kent Ave & S 11 St,40.707644944175705,-73.96841526031494
61,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103
62,285,Broadway & E 14 St,40.73454567,-73.99074142
63,289,Monroe St & Classon Ave,40.6845683,-73.95881081
64,291,Madison St & Montgomery St,40.713126,-73.984844
65,293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049
66,295,Pike St & E Broadway,40.71406667,-73.99293911
67,297,E 15 St & 3 Ave,40.734232,-73.986923
68,298,3 Ave & Schermerhorn St,40.68683208,-73.9796772
69,301,E 2 St & Avenue B,40.72217444,-73.98368779
70,302,Avenue D & E 3 St,40.72082834,-73.97793172
71,303,Mercer St & Spring St,40.72362738,-73.99949601
72,304,Broadway & Battery Pl,40.70463334,-74.01361706
73,305,E 58 St & 3 Ave,40.76095756,-73.96724467
74,307,Canal St & Rutgers St,40.71427487,-73.98990025
75,308,St James Pl & Oliver St,40.71307916,-73.99851193
76,309,Murray St & West St,40.7149787,-74.013012
77,310,State St & Smith St,40.68926942,-73.98912867
78,311,Norfolk St & Broome St,40.7172274,-73.98802084
79,312,Allen St & Stanton St,40.722055,-73.989111
80,313,Washington Ave & Park Ave,40.69610226,-73.96751037
81,315,South St & Gouverneur Ln,40.70355377,-74.00670227
82,316,Fulton St & William St,40.70955958,-74.00653609
83,317,E 6 St & Avenue B,40.72453734,-73.98185424
84,319,Fulton St & Broadway,40.711066,-74.009447
85,320,Leonard St & Church St,40.717571,-74.005549
86,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773
87,323,Lawrence St & Willoughby St,40.69236178,-73.98631746
88,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013
89,325,E 19 St & 3 Ave,40.73624527,-73.98473765
90,326,E 11 St & 1 Ave,40.72953837,-73.98426726
91,327,Vesey Pl & River Terrace,40.7153379,-74.01658354
92,328,Watts St & Greenwich St,40.72405549,-74.00965965
93,330,Reade St & Broadway,40.71450451,-74.00562789
94,331,Pike St & Monroe St,40.71173107,-73.99193043
95,332,Cherry St,40.71219906,-73.97948148
96,334,W 20 St & 7 Ave,40.74238787,-73.99726235
97,335,Washington Pl & Broadway,40.72903917,-73.99404649
98,336,Sullivan St & Washington Sq,40.73047747,-73.99906065
99,340,Madison St & Clinton St,40.71269042,-73.98776323
100,341,Stanton St & Mangin St,40.71782143,-73.97628939
101,342,Columbia St & Rivington St,40.71739973,-73.98016555
102,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848
103,344,Monroe St & Bedford Ave,40.6851443,-73.95380904
104,346,Bank St & Hudson St,40.73652889,-74.00618026
105,347,Greenwich St & W Houston St,40.728846,-74.008591
106,349,Rivington St & Ridge St,40.71850211,-73.98329859
107,350,Clinton St & Grand St,40.71559509,-73.9870295
108,351,Front St & Maiden Ln,40.70530954,-74.00612572
109,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458
110,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558
111,355,Bayard St & Baxter St,40.71602118,-73.99974372
112,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206
113,358,Christopher St & Greenwich St,40.73291553,-74.00711384
114,359,E 47 St & Park Ave,40.75510267,-73.97498696
115,360,William St & Pine St,40.70717936,-74.00887308
